screen_name|created_at|text|retweet_count|favorite_count
realDonaldTrump|Fri Sep 07 10:56:38 +0000 2018|What was Nike thinking?|30042|151196
realDonaldTrump|Fri Sep 07 02:48:03 +0000 2018|Thank you Montana, I love you! https://t.co/9J4Xv2PoNw|16069|75956
realDonaldTrump|Fri Sep 07 02:38:26 +0000 2018|MAKE AMERICA GREAT AGAIN! https://t.co/RPOYiqsHHH|17382|67577
realDonaldTrump|Fri Sep 07 01:06:56 +0000 2018|Getting ready to go on stage for Matt Rosendale, who will be a great Senator. Jon Tester has let the people of Montana down &amp; does not deserve another six years. Matt is strong on Crime, the Borders, &amp; will save your Second Amendment from the onslaught. Loves our Military &amp; Vets!|16355|75159
realDonaldTrump|Thu Sep 06 23:15:20 +0000 2018|Landing in Montana now to support Matt Rosendale for U.S. Senate! #MAGA https://t.co/0MIEyWxMbW|11041|52356
realDonaldTrump|Thu Sep 06 23:12:02 +0000 2018|Are the investigative ?journalists? of the New York Times going to investigate themselves - who is the anonymous letter writer?|18800|85921
realDonaldTrump|Thu Sep 06 17:16:12 +0000 2018|Look forward to seeing everyone in Montana tonight! #MAGA https://t.co/fyHduA2Peo|13232|56156
realDonaldTrump|Thu Sep 06 14:09:32 +0000 2018|?The record is quite remarkable. The President has faithfully followed the agenda he campaigned on in 2016. People should focus on the results, and they?re extraordinary!?  James Freeman - Wall Street Journal|25234|97192
realDonaldTrump|Thu Sep 06 11:31:19 +0000 2018|Cosumer confidence highest in 18 years, Atlanta Fed forecasts 4.7 GDP, manufacturing jobs highest in many years. ?It?s the story of the Trump Administration, the Economic Success, that?s unnerving his detractors.? @MariaBartiromo|19090|76412
realDonaldTrump|Thu Sep 06 11:19:30 +0000 2018|The Deep State and the Left, and their vehicle, the Fake News Media, are going Crazy - &amp; they don?t know what to do. The Economy is booming like never before, Jobs are at Historic Highs, soon TWO Supreme Court Justices &amp; maybe Declassification to find Additional Corruption. Wow!|36365|128952
realDonaldTrump|Thu Sep 06 10:58:41 +0000 2018|Kim Jong Un of North Korea proclaims ?unwavering faith in President Trump.? Thank you to Chairman Kim. We will get it done together!|26141|110356
realDonaldTrump|Thu Sep 06 03:22:34 +0000 2018|I?m draining the Swamp, and the Swamp is trying to fight back. Don?t worry, we will win!|52753|202377
realDonaldTrump|Wed Sep 05 23:40:32 +0000 2018|Does the so-called ?Senior Administration Official? really exist, or is it just the Failing New York Times with another phony source? If the GUTLESS anonymous person does indeed exist, the Times must, for National Security purposes, turn him/her over to government at once!|31905|120273
realDonaldTrump|Wed Sep 05 22:15:09 +0000 2018|TREASON?|33981|121131
realDonaldTrump|Wed Sep 05 21:45:54 +0000 2018|The Failing New York Times! https://t.co/SHsXvYKpBf|25493|87987
realDonaldTrump|Wed Sep 05 21:10:01 +0000 2018|Today, it was my honor to welcome the Amir of Kuwait to the @WhiteHouse! https://t.co/b5iqsajpOj https://t.co/8wtucJrtEl|12194|49752
realDonaldTrump|Wed Sep 05 19:09:51 +0000 2018|Join me tomorrow night at 7:00pm MDT in Billings, Montana for a MAKE AMERICA GREAT AGAIN RALLY! Get your tickets here: https://t.co/fyHduA2Peo|14923|55469
realDonaldTrump|Wed Sep 05 13:54:35 +0000 2018|Thank you General Mattis, book is boring &amp; untrue! https://t.co/Bq79ZjF3Dk|15418|62157
realDonaldTrump|Wed Sep 05 13:51:29 +0000 2018|Thank you General Kelly, book is total fiction! https://t.co/J5iUONhRin|14790|58693
realDonaldTrump|Wed Sep 05 13:39:54 +0000 2018|Just like the NFL, whose ratings have gone WAY DOWN, Nike is getting absolutely killed with anger and boycotts. I wonder if they had any idea that it would be this way? As far as the NFL is concerned, I just find it hard to watch, and always will, until they stand for the FLAG!|27543|120862
realDonaldTrump|Wed Sep 05 13:21:07 +0000 2018|The Trump Economy is booming with help of House and Senate GOP. #FarmBill with SNAP work  requirements will bolster farmers and get America back to work. Pass the Farm Bill with SNAP work requirements!|13986|60137
realDonaldTrump|Wed Sep 05 13:20:22 +0000 2018|Almost everyone agrees that my Administration has done more in less than two years than any other Administration in the history of our Country. I?m tough as hell on people &amp; if I weren?t, nothing would get done. Also, I question everybody &amp; everything-which is why I got elected!|28838|118302
realDonaldTrump|Wed Sep 05 11:33:18 +0000 2018|Isn?t it a shame that someone can write an article or book, totally make up stories and form a picture of a person that is literally the exact opposite of the fact, and get away with it without retribution or cost. Don?t know why Washington politicians don?t change libel laws?|25540|114749
realDonaldTrump|Wed Sep 05 03:35:30 +0000 2018|?Secretary Mattis Nukes Woodward Allegations? https://t.co/H5bPjsVXNb|14591|53025
realDonaldTrump|Wed Sep 05 03:32:16 +0000 2018|Jim Mattis Calls Woodward Book 'Fiction': 'Product of Someone's Rich Imagination' https://t.co/HGMDiH98nx via @BreitbartNews|12262|46676
realDonaldTrump|Wed Sep 05 03:01:43 +0000 2018|The already discredited Woodward book, so many lies and phony sources, has me calling Jeff Sessions ?mentally retarded? and ?a dumb southerner.? I said NEITHER, never used those terms on anyone, including Jeff, and being a southerner is a GREAT thing. He made this up to divide!|22076|87174
realDonaldTrump|Wed Sep 05 02:50:19 +0000 2018|Sleepy Eyes Chuck Todd of Fake NBC News said it?s time for the Press to stop complaining and to start fighting back. Actually Chuck, they?ve been doing that from the day I announced for President. They?ve gone all out, and I WON, and now they?re going CRAZY!|26151|107529
realDonaldTrump|Tue Sep 04 23:18:08 +0000 2018|The Woodward book has already been refuted and discredited by General (Secretary of Defense) James Mattis and General (Chief of Staff) John Kelly. Their quotes were made up frauds, a con on the public. Likewise other stories and quotes. Woodward is a Dem operative? Notice timing?|23493|83811
