screen_name|created_at|text|retweet_count|favorite_count
realDonaldTrump|Wed Apr 11 11:37:56 +0000 2018|Our relationship with Russia is worse now than it has ever been, and that includes the Cold War. There is no reason for this. Russia needs us to help with their economy, something that would be very easy to do, and we need all nations to work together. Stop the arms race?|30870|121977
realDonaldTrump|Wed Apr 11 10:57:30 +0000 2018|Russia vows to shoot down any and all missiles fired at Syria. Get ready Russia,  because they will be coming, nice and new and ?smart!? You shouldn?t be partners with a Gas Killing Animal who kills his people and enjoys it!|63016|167968
realDonaldTrump|Wed Apr 11 10:47:37 +0000 2018|....doing things that nobody thought possible, despite the never ending and corrupt Russia Investigation, which takes tremendous time and focus. No Collusion or Obstruction (other than I fight back), so now they do the Unthinkable, and RAID a lawyers office for information! BAD!|17078|74017
realDonaldTrump|Wed Apr 11 10:38:42 +0000 2018|So much Fake News about what is going on in the White House. Very calm and calculated with a big focus on open and fair trade with China, the coming North Korea meeting and, of course, the vicious gas attack in Syria. Feels great to have Bolton &amp; Larry K on board. I (we) are|15403|67443
realDonaldTrump|Wed Apr 11 10:30:19 +0000 2018|The Failing New York Times wrote another phony story. It was political pundit Doug Schoen, not a Ukrainian businessman, who asked me to do a short speech by phone (Skype), hosted by Doug, in Ukraine. I was very positive about Ukraine-another negative to the Fake Russia  C story!|16213|65261
realDonaldTrump|Tue Apr 10 21:49:56 +0000 2018|"Today, it was my great honor to welcome the 2017 NCAA Football National Champion, Alabama Crimson Tide - to the White House. Congratulations! #RollTide
https://t.co/hF5EZHlSVS https://t.co/JfGue4IIs1"|15954|78189
realDonaldTrump|Tue Apr 10 18:30:38 +0000 2018|Very thankful for President Xi of China?s kind words on tariffs and automobile barriers...also, his enlightenment on intellectual property and technology transfers. We will make great progress together!|21539|103443
realDonaldTrump|Tue Apr 10 13:30:35 +0000 2018|Last night, it was my great honor to host America?s senior defense and military leaders for dinner at the White House. America?s military is the GREATEST fighting force in the history of the world. They all have my pledge of unwavering commitment to our men and women in uniform! https://t.co/BjWKcMX0iL|18678|85438
realDonaldTrump|Tue Apr 10 11:08:18 +0000 2018|A TOTAL WITCH HUNT!!!|29560|119156
realDonaldTrump|Tue Apr 10 11:07:58 +0000 2018|Attorney?client privilege is dead!|25716|101821
realDonaldTrump|Mon Apr 09 19:32:27 +0000 2018|Great @Cabinet meeting at the @WhiteHouse this morning! https://t.co/kzmfovwUeb https://t.co/7AgbwbFNuw|10045|51782
