nodo_id,tipo,etiqueta,handle,author_channel_id,video_id,channel_id,canal,comentarios,videos_comentados,autores_unicos,visualizaciones,categoria
video:iCbGedZRRE8,video,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGT,/@GobiernodelaRepublicadeGuatema,,iCbGedZRRE8,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,0.0,,0.0,1058.0,Entertainment
video:iEmScdnYQdg,video,La nueva ruta que evita El Trébol,/@Tr%C3%A1ficoSinCensuraGT,,iEmScdnYQdg,UCmzHLdcizBNiyN5t2mEPp3A,Tráfico Sin Censura,0.0,,0.0,8502.0,People & Blogs
video:iWYddxEszoM,video,#EnVivoDCA | Conferencia de prensa del Gobierno de Guatemala,/@dcaguatemala,,iWYddxEszoM,UCaivrAhro2BpsJdrPe-IyRg,Diario de Centro América,0.0,,0.0,264.0,News & Politics
video:iacCQ4VyWWc,video,"Los conservadores y los liberales, Historia de Guatemala",/@panda0157,,iacCQ4VyWWc,UC-rcR68a-aLwAnszxTG4--A,Panda 01,0.0,,0.0,25431.0,People & Blogs
video:ifJFNGT4azU,video,Podcast Guatemala Ahora Yo Se: Medidas De Seguridad Con el Lic. Ariel Yos y el Lic. Gabriel Quiñones,/@AhoraYose,,ifJFNGT4azU,UC1B5-Dun1FHWae_rIJdfhow,Ahora Yose,0.0,,0.0,3631.0,People & Blogs
video:is3Mk5oC19g,video,Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu,/@TN23TodoNoticias,,is3Mk5oC19g,UCt5Dw7ePnn0AqPqRF8Xpjkw,TN23 Guatemala,7.0,,7.0,4616.0,News & Politics
video:j43HgwYFKfk,video,La cooptación de Walter Mazariegos en la USAC,/@quorumgt,,j43HgwYFKfk,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,50.0,,49.0,10156.0,News & Politics
video:j4akBH678fw,video,El paso a desnivel Calzada Roosevelt lleva más conexión y mejor movilidad para la población.,/@GobiernodelaRepublicadeGuatema,,j4akBH678fw,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,0.0,,0.0,649.0,Entertainment
video:jQGvhMPMuAI,video,#DiálogoCentral | El clima de la semana: adiós a la canícula ¿llegan las lluvias? 🌦️,/@miracanalantigua,,jQGvhMPMuAI,UC-GLagjBhWAZ3IOWFgzqIAw,Canal Antigua,0.0,,0.0,214.0,News & Politics
video:jSw-nFh94qQ,video,Gobernación promueve espacios de sana convivencia,/@mingobguate,,jSw-nFh94qQ,UC8u2nvyHewt-mjdWSj0HJmQ,Ministerio de Gobernación,0.0,,0.0,59.0,News & Politics
