nodo_id,etiqueta,grado,estado
video:IZLflL4Hgco,El ciudadano Toriello da un paso al frente,0,aislado observado
video:IcF9rRdAtp8,Ministro de Comunicaciones Alejandro Sinibaldi realiza supervisión en la Ruta CA-1 Occidente,0,aislado observado
video:J6ctng-yAnI,CIV PROVIAL GRADUACIÓN XV PROMOCIÓN BRIGADAS 140619,0,aislado observado
video:JErfmk-TlRg,Rendición de Cuentas - Primer Cuatrimestre 2023,0,aislado observado
video:J_HBzJUTOus,Presentan estrategia nacional para prevenir violencia durante recorridos de antorchas,0,aislado observado
video:JdxHJkQjM50,🚡 ¿Cómo va avanzando #AeroMetroGT?,0,aislado observado
video:JgmCtBQWNL8,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,0,aislado observado
video:JkpVO1hx2f8,10 Preguntas a un año del Paro Nacional,0,aislado observado
video:Jr1hJ92H_Nc,"#SinMáscaras | GUERRA SUCIA PERO SUCIA EN SERIO LLEGA A TV AZTECA CON AMPARO, CAMIN Y CASTAÑEDA",0,aislado observado
video:K1IA6oTGws8,#EnVivoDCA | Conferencia de prensa del Gobierno de Guatemala,0,aislado observado
video:K2qWcueeMOc,#EnvivoDCA | Conferencia de prensa de Gobierno de Guatemala,0,aislado observado
video:K50uijsHnAM,Informe desde Ciudad de Guatemala: crisis de seguridad tras ataques contra la Policía,0,aislado observado
video:KIO6wIJXYY0,"Se tiene que cambiar el sistema electoral en Guatemala, asegura exfiscal",0,aislado observado
video:KWCyMd4dxkY,Recorrido de los 21K BAM de la Municipalidad de Guatemala,0,aislado observado
video:KkNQhX_kg8A,🇬🇹HISTORIA de GUATEMALA en 17 minutos🇬🇹 - El Mapa de Sebas,0,aislado observado
video:LRzZy8xBrjA,Conferencia de prensa ante el incremento de los combustibles.,0,aislado observado
video:LeN6wpNIB-4,GUATEMALA RECIBE 135 NICARAGUENESES LIBERADOS POR ORTEGA,0,aislado observado
video:LqY_vAsa4PY,“Guatemala: Una historia escrita con corrupción”,0,aislado observado
video:MMECHN8SFNw,"Noticiero en Directo 1 pm, 27 de Agosto de 2026",0,aislado observado
video:MRJ9mKnXR9M,Labor de la PMT es honesta aseguran vecinos,0,aislado observado
video:MdIa2Dtj77I,"Consejos para tu viaje a Guatemala: hospedaje, telefonía, transporte y más!   ✈️ 🇬🇹",0,aislado observado
video:Mh94uXZvCLo,DE LOS BOTS AL RECHAZO: CERIMEDO Y LA “GUERRILLA DE LAS REDES” | CAPÍTULO 3 DE 8,0,aislado observado
video:Mme4XikKnlc,Municipalidad anuncia 111 nuevos autobuses y 17 rutas para mejorar el transporte en la capital,0,aislado observado
